class,symbol,datetime,sl3,sl6,sl12,sl20,sl30,sl60,sl90,sbm10,sbm20,sam10,sam20,ram20,ram30,rbm10,rbm20,sam90,sam180,sam360,sbm90,sbm180,sbm360
0,cat,2017-02-06,30.937,23.864,21.446,18.634,16.914,18.283,18.260,103.041,103.041,0.000,2.849,0.005,0.005,0.062,0.062,22.654,18.756,23.130,103.041,103.041,103.041
0,cat,2017-02-07,42.168,28.599,24.141,20.423,18.128,18.734,18.586,81.971,81.971,47.378,5.088,0.010,0.010,0.057,0.057,23.140,18.638,23.332,81.971,81.971,81.971
0,cat,2017-02-08,22.935,18.649,19.057,17.416,16.197,17.450,17.709,76.775,76.775,2.154,2.154,0.000,0.006,0.061,0.061,22.043,17.764,22.980,76.775,76.775,76.775
0,cat,2017-02-09,56.685,35.211,27.100,22.439,19.652,19.074,18.846,56.459,56.459,39.123,39.123,0.012,0.017,0.051,0.051,23.646,17.872,23.580,56.459,56.459,56.459
0,cat,2017-02-10,138.023,75.347,46.875,34.713,28.004,23.267,21.793,27.073,27.073,92.602,92.602,0.037,0.043,0.027,0.027,27.559,22.105,25.023,27.073,27.073,27.073
