class,symbol,datetime,sl3,sl6,sl12,sl20,sl30,sl60,sl90,sbm10,sbm20,sam10,sam20,ram20,ram30,rbm10,rbm20,sam90,sam180,sam360,sbm90,sbm180,sbm360
1,cat,2017-02-06,-78.506,-103.041,-4.551,-0.914,-3.375,16.120,13.393,103.041,103.041,0.000,2.849,0.005,0.005,0.062,0.062,22.654,18.756,23.130,103.041,103.041,103.041
0,cat,2017-02-07,-16.352,-59.924,-11.190,5.088,-2.869,3.856,8.623,81.971,81.971,47.378,5.088,0.010,0.010,0.057,0.057,23.140,18.638,23.332,81.971,81.971,81.971
1,cat,2017-02-08,-13.222,-47.913,-13.674,-4.902,-4.983,-0.963,6.910,76.775,76.775,2.154,2.154,0.000,0.006,0.061,0.061,22.043,17.764,22.980,76.775,76.775,76.775
1,cat,2017-02-09,39.123,-20.152,-19.742,-3.645,-2.080,1.702,6.496,56.459,56.459,39.123,39.123,0.012,0.017,0.051,0.051,23.646,17.872,23.580,56.459,56.459,56.459
0,cat,2017-02-10,107.170,45.146,-15.622,12.342,11.308,3.787,10.107,27.073,27.073,92.602,92.602,0.037,0.043,0.027,0.027,27.559,22.105,25.023,27.073,27.073,27.073
