class,symbol,datetime,sl3,sl6,sl12,sl20,sl30,sl60,sl90,sbm10,sbm20,sam10,sam20,ram20,ram30,rbm10,rbm20,sam90,sam180,sam360,sbm90,sbm180,sbm360
0,slv,2017-02-06,42.143,61.652,36.187,37.724,37.478,-5.556,-8.255,0.000,0.000,79.813,37.724,0.075,0.128,0.000,0.000,45.751,45.751,9.997,8.577,10.995,10.995
0,slv,2017-02-07,46.297,57.507,30.883,34.713,40.276,-6.304,-8.664,17.835,17.835,67.483,34.713,0.069,0.126,0.002,0.002,43.479,43.479,9.883,8.664,11.028,11.028
0,slv,2017-02-08,54.315,21.046,28.136,29.227,43.148,-6.834,-7.792,0.000,0.000,63.472,32.169,0.061,0.129,0.000,0.000,43.148,43.148,9.980,8.396,10.749,10.749
1,slv,2017-02-09,-13.872,14.048,27.230,27.725,35.691,2.833,-8.852,53.444,53.444,51.475,27.725,0.055,0.109,0.005,0.005,39.809,39.809,9.709,8.852,11.016,11.016
0,slv,2017-02-10,45.662,46.296,47.619,34.884,39.912,10.625,-5.285,0.000,0.000,49.322,34.884,0.070,0.126,0.000,0.000,44.224,44.224,10.384,5.285,9.897,9.897
