class,symbol,datetime,sl3,sl6,sl12,sl20,sl30,sl60,sl90,sbm10,sbm20,sam10,sam20,ram20,ram30,rbm10,rbm20,sam90,sam180,sam360,sbm90,sbm180,sbm360
0,spy,2017-02-06,120.169,63.237,35.123,22.901,16.569,9.897,7.561,3.485,3.485,12.293,11.140,0.013,0.024,0.003,0.003,15.762,9.542,10.159,3.485,3.485,3.485
0,spy,2017-02-07,118.372,62.127,34.700,22.699,16.458,9.832,7.501,3.049,3.049,12.394,10.317,0.013,0.024,0.003,0.003,15.519,9.483,10.120,3.049,3.049,3.049
0,spy,2017-02-08,120.410,63.385,35.326,23.127,16.788,9.986,7.588,1.437,1.437,12.526,10.529,0.015,0.026,0.001,0.001,15.501,9.519,10.145,1.437,1.437,1.437
0,spy,2017-02-09,138.520,72.681,39.889,25.980,18.725,10.978,8.238,0.000,0.000,19.275,13.840,0.021,0.032,0.000,0.000,16.266,9.892,10.401,0.000,0.000,0.000
0,spy,2017-02-10,149.976,78.560,42.722,27.845,19.974,11.640,8.670,0.000,0.000,21.865,15.493,0.025,0.036,0.000,0.000,16.681,10.118,10.558,0.000,0.000,0.000
