Date,Open,High,Low,Close,Volume,Adj Close
2004-02-27,77.699997,77.699997,75.699997,75.75,7388200,26.978548
2004-03-01,76.00,77.610001,75.849998,76.839996,4757800,27.366753
2004-03-02,76.25,77.830002,76.120003,77.589996,4534200,27.633867
2004-03-03,77.599998,78.18,77.239998,77.32,3606200,27.537707
2004-03-04,77.07,77.260002,76.519997,76.900002,2649800,27.388124
2004-03-05,76.099998,77.099998,75.949997,76.370003,5206000,27.199363
2004-03-08,77.650002,78.25,76.889999,76.889999,5699200,27.384561
2004-03-09,77.25,77.980003,75.970001,76.400002,5101800,27.210047
2004-03-10,77.00,77.400002,73.370003,73.510002,9450400,26.180767
2004-03-11,73.349998,74.50,72.510002,73.150002,7803400,26.052552
2004-03-12,73.330002,74.93,73.010002,74.93,5666600,26.686503
2004-03-15,74.099998,74.660004,73.650002,73.980003,5711600,26.348159
2004-03-16,74.50,75.860001,74.25,75.349998,6185200,26.836086
2004-03-17,75.550003,77.489998,75.50,77.220001,5044400,27.502092
2004-03-18,76.970001,77.400002,75.550003,77.199997,4893400,27.494968
2004-03-19,77.209999,77.870003,76.209999,76.300003,4883800,27.174433
2004-03-22,75.650002,75.800003,74.870003,75.50,3908200,26.88951
2004-03-23,75.699997,76.75,75.480003,75.849998,4311800,27.014162
2004-03-24,75.949997,76.660004,75.580002,76.330002,3443600,27.185117
2004-03-25,76.50,77.199997,75.949997,77.150002,3494400,27.477162
2004-03-26,76.949997,78.25,76.449997,77.440002,3820000,27.580446
2004-03-29,78.440002,79.699997,78.440002,79.480003,5055400,28.306998
2004-03-30,79.279999,80.040001,78.209999,80.00,6002400,28.492196
2004-03-31,79.459999,79.849998,78.870003,79.07,3436600,28.160974
2004-04-01,79.150002,80.040001,78.50,79.00,3429000,28.136043
2004-04-02,80.25,81.529999,79.57,81.199997,5519400,28.919577
2004-04-05,81.00,82.510002,80.599998,82.410004,3417800,29.350524
2004-04-06,82.00,83.279999,81.900002,82.910004,4342800,29.528601
2004-04-07,82.620003,82.800003,81.419998,82.099998,4794000,29.240115
