class,symbol,datetime,sl3,sl6,sl12,sl20,sl30,sl60,sl90,sbm10,sbm20,sam10,sam20,ram20,ram30,rbm10,rbm20,sam90,sam180,sam360,sbm90,sbm180,sbm360
0,cat,2004-03-17,101.873,17.888,4.121,-10.708,0.779,-10.950,-7.300,1.293,10.708,139.098,139.098,0.056,0.056,0.001,0.021,139.098,139.098,139.098,25.455,25.455,25.455
0,cat,2004-03-18,145.084,83.662,-4.189,-8.468,5.709,-10.990,-7.327,2.591,8.468,110.731,110.731,0.055,0.055,0.000,0.017,110.731,110.731,110.731,24.830,24.830,24.830
0,cat,2004-03-19,42.026,71.770,-10.993,-3.385,-0.087,-12.805,-8.537,59.570,13.230,71.770,71.770,0.043,0.043,0.012,0.021,71.770,71.770,71.770,26.963,26.963,26.963
1,cat,2004-03-22,-74.247,12.678,-15.171,-11.137,-12.739,-14.418,-9.612,74.247,18.488,45.894,45.894,0.032,0.032,0.022,0.031,45.894,45.894,45.894,28.684,28.684,28.684
1,cat,2004-03-23,-58.290,42.128,-5.674,-5.541,-7.811,-13.712,-9.142,44.354,14.967,46.138,46.138,0.037,0.037,0.018,0.027,46.138,46.138,46.138,26.938,26.938,26.938
1,cat,2004-03-24,1.311,21.677,-6.069,-5.507,-1.001,-12.745,-8.496,23.051,10.938,48.303,48.303,0.043,0.043,0.012,0.021,48.303,48.303,48.303,24.904,24.904,24.904
1,cat,2004-03-25,72.848,-1.511,8.181,-5.131,-7.641,-11.091,-7.394,1.511,5.131,54.682,54.682,0.055,0.055,0.001,0.010,54.682,54.682,54.682,22.014,22.014,22.014
1,cat,2004-03-26,69.875,5.181,44.552,11.155,-5.295,-10.506,-7.004,0.000,1.074,51.966,53.315,0.059,0.059,0.000,0.002,53.315,53.315,53.315,20.709,20.709,20.709
0,cat,2004-03-29,137.561,69.463,72.112,17.179,8.869,-6.392,-4.262,0.000,0.000,74.344,72.112,0.087,0.087,0.000,0.000,72.112,72.112,72.112,14.784,14.784,14.784
0,cat,2004-03-30,123.137,99.338,56.386,15.530,2.012,-5.344,-3.563,0.000,0.000,61.712,72.033,0.094,0.094,0.000,0.000,72.033,72.033,72.033,13.097,13.097,13.097
1,cat,2004-03-31,70.162,70.754,57.335,11.317,0.676,-11.445,-4.813,116.250,116.250,67.550,57.807,0.081,0.081,0.012,0.012,57.807,57.807,57.807,15.190,15.190,15.190
2,cat,2004-04-01,-20.131,58.299,40.367,13.654,1.995,-8.793,-4.907,62.500,62.500,57.947,53.315,0.080,0.080,0.013,0.013,53.315,53.315,53.315,15.042,15.042,15.042
0,cat,2004-04-02,50.000,87.492,42.951,31.622,19.005,-2.606,-1.949,0.000,0.000,83.885,68.780,0.110,0.110,0.000,0.000,68.780,68.780,68.780,9.337,9.337,9.337
0,cat,2004-04-05,140.804,106.965,56.239,35.895,22.404,1.140,-0.323,0.000,0.000,91.523,74.464,0.127,0.127,0.000,0.000,74.464,74.464,74.464,6.242,6.242,6.242
0,cat,2004-04-06,164.979,71.926,72.193,42.605,26.988,5.096,0.350,0.000,0.000,93.079,74.125,0.133,0.133,0.000,0.000,74.125,74.125,74.125,4.941,4.941,4.941
0,cat,2004-04-07,36.946,43.750,72.848,58.427,21.249,-0.707,-0.739,97.697,97.697,75.593,64.395,0.122,0.122,0.010,0.010,64.395,64.395,64.395,6.712,6.712,6.712
0,cat,2004-04-08,-17.393,61.338,67.348,60.355,17.233,-1.050,-0.901,56.085,56.085,62.605,60.355,0.121,0.121,0.011,0.011,60.355,60.355,60.355,6.854,6.854,6.854
0,cat,2004-04-12,33.771,100.211,81.008,58.855,35.204,0.100,1.479,0.000,0.000,81.482,69.507,0.132,0.145,0.000,0.000,69.004,69.004,69.004,2.797,2.797,2.797
0,cat,2004-04-13,-3.248,16.831,52.603,54.339,22.471,-2.718,-0.847,206.568,206.568,54.611,54.339,0.109,0.121,0.021,0.021,55.117,55.117,55.117,6.513,6.513,6.513
0,cat,2004-04-14,-38.627,-27.909,38.632,37.691,14.779,-6.160,-2.178,162.388,162.388,32.120,37.691,0.075,0.108,0.032,0.032,46.836,46.836,46.836,8.512,8.512,8.512
