class,symbol,datetime,sl3,sl6,sl12,sl20,sl30,sl60,sl90,sbm10,sbm20,sam10,sam20,ram20,ram30,rbm10,rbm20,sam90,sam180,sam360,sbm90,sbm180,sbm360
0,spy,2010-02-18,88.548,57.359,14.136,-13.083,-7.979,-3.559,-2.373,0.000,13.083,67.725,67.725,0.047,0.047,0.000,0.026,67.725,67.725,67.725,17.175,17.175,17.175
0,spy,2010-02-19,42.525,64.324,5.738,-2.507,-7.534,-3.221,-2.147,0.000,2.507,61.975,61.975,0.050,0.050,0.000,0.005,61.975,61.975,61.975,15.486,15.486,15.486
0,spy,2010-02-22,27.208,46.703,10.091,8.928,-8.845,-3.191,-2.128,0.000,0.000,55.299,55.299,0.050,0.050,0.000,0.000,55.299,55.299,55.299,14.737,14.737,14.737
1,spy,2010-02-23,-33.060,27.305,26.384,0.182,-13.849,-5.177,-3.451,121.447,121.447,37.020,37.020,0.037,0.037,0.012,0.012,37.020,37.020,37.020,19.012,19.012,19.012
0,spy,2010-02-24,-9.597,16.402,32.502,6.907,-11.360,-3.691,-2.461,15.293,15.293,39.560,42.325,0.047,0.047,0.003,0.003,42.325,42.325,42.325,14.740,14.740,14.740
0,spy,2010-02-25,-14.694,6.197,37.618,3.824,-8.769,-3.912,-2.608,14.694,14.694,34.202,37.618,0.045,0.045,0.004,0.004,37.618,37.618,37.618,14.675,14.675,14.675
1,spy,2010-02-26,28.231,-2.555,27.358,9.994,-11.284,-3.809,-2.539,9.446,9.446,27.767,35.232,0.046,0.046,0.004,0.004,35.232,35.232,35.232,13.906,13.906,13.906
1,spy,2010-03-01,32.184,11.247,38.003,20.952,-8.817,-2.118,-1.412,0.000,0.000,35.635,40.473,0.057,0.057,0.000,0.000,40.473,40.473,40.473,9.840,9.840,9.840
1,spy,2010-03-02,46.083,15.593,31.367,14.396,-4.224,-1.662,-1.108,0.000,0.000,22.417,39.727,0.060,0.060,0.000,0.000,39.727,39.727,39.727,8.571,8.571,8.571
1,spy,2010-03-03,46.957,37.793,32.858,8.697,-7.996,-1.515,-1.010,0.000,0.000,37.793,37.834,0.061,0.061,0.000,0.000,37.834,37.834,37.834,7.996,7.996,7.996
1,spy,2010-03-04,22.343,27.372,22.022,12.792,-3.659,-1.015,-0.676,0.000,0.000,36.817,37.497,0.064,0.064,0.000,0.000,37.497,37.497,37.497,6.785,6.785,6.785
1,spy,2010-03-05,60.903,53.914,30.156,36.687,7.610,1.353,0.902,0.000,0.000,50.542,43.861,0.079,0.079,0.000,0.000,43.861,43.861,43.861,2.200,2.200,2.200
1,spy,2010-03-08,58.474,53.127,25.246,35.674,15.444,1.382,0.922,0.000,0.000,45.128,41.652,0.079,0.079,0.000,0.000,41.652,41.652,41.652,2.081,2.081,2.081
1,spy,2010-03-09,53.859,38.282,24.894,40.467,14.242,1.662,1.108,0.000,0.000,42.346,40.467,0.081,0.081,0.000,0.000,40.467,40.467,40.467,1.534,1.534,1.534
0,spy,2010-03-10,21.007,41.147,28.562,36.141,17.260,2.412,1.608,0.000,0.000,43.171,39.150,0.074,0.086,0.000,0.000,40.833,40.833,40.833,0.223,0.223,0.223
0,spy,2010-03-11,34.421,46.750,42.801,39.436,17.057,3.118,2.078,0.000,0.000,43.191,39.436,0.079,0.090,0.000,0.000,41.037,41.037,41.037,0.000,0.000,0.000
0,spy,2010-03-12,29.122,41.726,34.891,33.894,21.154,3.132,2.088,0.000,0.000,42.622,36.146,0.069,0.090,0.000,0.000,39.294,39.294,39.294,0.000,0.000,0.000
1,spy,2010-03-15,15.076,18.089,36.294,34.478,25.142,3.177,2.118,0.000,0.000,32.174,34.478,0.069,0.091,0.000,0.000,37.775,37.775,37.775,0.000,0.000,0.000
0,spy,2010-03-16,27.718,31.213,42.668,30.390,22.465,4.530,3.020,0.000,0.000,37.522,30.390,0.061,0.099,0.000,0.000,39.739,39.739,39.739,0.000,0.000,0.000
0,spy,2010-03-17,47.347,38.441,38.803,31.018,20.294,5.544,3.696,0.000,0.000,42.743,41.492,0.066,0.106,0.000,0.000,40.717,40.717,40.717,0.000,0.000,0.000
0,spy,2010-03-18,44.737,30.008,35.948,27.635,21.882,5.456,3.637,5.124,5.124,39.063,38.730,0.066,0.105,0.001,0.001,38.999,38.999,38.999,5.124,5.124,5.124
0,spy,2010-03-19,-12.599,7.507,27.234,21.729,29.845,3.882,2.588,48.249,48.249,15.055,31.165,0.056,0.095,0.010,0.010,33.998,33.998,33.998,48.249,48.249,48.249
0,spy,2010-03-22,-14.518,16.312,29.223,24.424,31.033,4.794,3.196,14.518,14.518,20.303,32.496,0.062,0.101,0.004,0.004,34.844,34.844,34.844,14.518,14.518,14.518
0,spy,2010-03-23,10.538,27.708,23.049,34.605,36.264,6.000,4.000,0.000,0.000,25.773,34.605,0.069,0.109,0.000,0.000,36.264,36.264,36.264,0.000,0.000,0.000
1,spy,2010-03-24,25.006,6.156,18.742,27.161,29.907,5.162,3.441,48.549,48.549,16.265,29.343,0.056,0.092,0.005,0.005,33.358,33.358,33.358,48.549,48.549,48.549
1,spy,2010-03-25,1.716,-6.405,15.944,27.017,30.028,4.882,3.255,32.365,32.365,10.394,27.017,0.054,0.090,0.006,0.006,31.755,31.755,31.755,32.365,32.365,32.365
1,spy,2010-03-26,-23.564,-6.550,11.670,26.368,26.049,4.780,3.186,23.564,23.564,9.700,26.368,0.053,0.079,0.007,0.007,30.592,30.592,30.592,23.564,23.564,23.564
0,spy,2010-03-29,13.694,19.402,13.498,24.265,28.631,5.868,3.912,1.916,1.916,15.846,24.265,0.049,0.086,0.001,0.001,31.748,31.748,31.748,1.916,1.916,1.916
0,spy,2010-03-30,21.432,11.579,14.002,23.173,23.267,5.985,3.990,0.170,0.170,17.615,23.173,0.046,0.070,0.000,0.000,31.056,31.056,31.056,0.170,0.170,0.170
1,spy,2010-03-31,12.009,-5.820,10.896,20.926,20.376,5.397,3.598,5.820,5.820,11.102,20.926,0.042,0.065,0.003,0.003,29.145,29.145,29.145,5.820,5.820,5.820
1,spy,2010-04-01,13.638,13.694,9.950,22.905,20.707,6.116,4.382,0.000,0.000,17.533,22.905,0.046,0.073,0.000,0.000,30.399,30.399,30.399,0.000,0.000,0.000
0,spy,2010-04-05,38.614,30.147,11.813,19.737,22.854,7.402,5.324,0.000,0.000,24.058,19.737,0.039,0.082,0.000,0.000,31.985,31.985,31.985,0.000,0.000,0.000
0,spy,2010-04-06,58.120,35.169,14.240,20.872,23.630,7.079,5.598,0.000,0.000,35.169,20.872,0.042,0.084,0.000,0.000,31.842,31.842,31.842,0.000,0.000,0.000
0,spy,2010-04-07,15.846,14.774,17.174,17.037,25.954,5.513,4.932,57.124,57.124,21.812,17.037,0.034,0.078,0.006,0.006,29.441,29.441,29.441,57.124,57.124,57.124
1,spy,2010-04-08,0.281,19.449,15.582,16.526,23.913,5.869,5.333,11.341,11.341,23.482,16.526,0.033,0.073,0.002,0.002,29.667,29.667,29.667,11.341,11.341,11.341
1,spy,2010-04-09,14.281,36.325,15.189,17.757,26.746,8.637,6.098,0.000,0.000,28.307,17.757,0.036,0.080,0.000,0.000,30.715,30.715,30.715,0.000,0.000,0.000
0,spy,2010-04-12,38.864,27.448,20.684,18.535,27.090,7.445,6.284,0.000,0.000,27.106,18.535,0.037,0.081,0.000,0.000,30.418,30.418,30.418,0.000,0.000,0.000
1,spy,2010-04-13,29.750,15.016,22.718,18.790,23.654,7.106,6.373,0.000,0.000,30.235,18.790,0.038,0.071,0.000,0.000,29.920,29.920,29.920,0.000,0.000,0.000
0,spy,2010-04-14,45.727,30.102,32.953,20.531,26.708,11.073,7.706,0.000,0.000,39.791,26.477,0.045,0.080,0.000,0.000,32.109,32.109,32.109,0.000,0.000,0.000
0,spy,2010-04-15,43.149,41.258,28.199,17.891,26.684,9.024,7.804,0.000,0.000,36.667,25.486,0.046,0.080,0.000,0.000,31.616,31.616,31.616,0.000,0.000,0.000
0,spy,2010-04-16,-13.074,8.279,13.913,9.911,19.886,8.005,5.912,159.123,159.123,13.243,15.385,0.029,0.060,0.016,0.016,27.065,27.065,27.065,159.123,159.123,159.123
1,spy,2010-04-19,-37.957,3.625,20.014,16.556,16.222,12.101,6.353,61.011,61.011,15.313,16.556,0.033,0.049,0.012,0.012,27.387,27.387,27.387,61.011,61.011,61.011
0,spy,2010-04-20,-11.268,15.868,21.788,18.398,19.282,17.810,7.402,11.268,11.268,23.657,23.053,0.037,0.058,0.003,0.003,28.890,28.890,28.890,11.268,11.268,11.268
0,spy,2010-04-21,36.305,11.544,13.332,13.840,18.056,16.535,7.186,12.985,12.985,19.432,20.587,0.035,0.054,0.005,0.005,27.897,27.897,27.897,12.985,12.985,12.985
0,spy,2010-04-22,33.664,-2.338,13.861,17.888,17.541,17.854,7.539,4.452,4.452,18.944,21.159,0.038,0.053,0.002,0.002,28.016,28.016,28.016,4.452,4.452,4.452
0,spy,2010-04-23,25.645,7.145,24.290,22.117,18.363,18.180,8.314,0.000,0.000,41.052,23.612,0.045,0.055,0.000,0.000,28.912,28.912,28.912,0.000,0.000,0.000
0,spy,2010-04-26,19.062,27.787,18.102,20.458,17.004,19.619,7.863,37.764,37.764,27.787,20.458,0.041,0.051,0.004,0.004,27.547,27.547,27.547,37.764,37.764,37.764
1,spy,2010-04-27,-69.961,-18.501,-7.459,4.944,8.630,17.211,5.049,136.688,136.688,0.000,7.028,0.013,0.026,0.027,0.027,22.018,22.018,22.018,136.688,136.688,136.688
1,spy,2010-04-28,-66.497,-20.682,-2.505,8.433,8.504,15.771,5.932,66.497,66.497,75.962,10.706,0.020,0.029,0.020,0.020,23.163,23.163,23.163,66.497,66.497,66.497
0,spy,2010-04-29,-13.460,2.763,7.163,16.496,10.703,15.824,7.383,19.498,19.498,100.439,16.496,0.033,0.042,0.008,0.008,25.245,25.245,25.245,19.498,19.498,19.498
1,spy,2010-04-30,9.284,-30.436,-16.366,4.287,5.041,13.627,5.373,49.257,49.257,9.284,4.287,0.009,0.024,0.025,0.025,21.406,21.406,21.406,49.257,49.257,49.257
0,spy,2010-05-03,27.084,-19.976,-6.458,6.694,12.589,21.781,6.883,19.976,19.976,39.458,9.341,0.017,0.038,0.012,0.012,23.544,23.544,23.544,19.976,19.976,19.976
0,spy,2010-05-04,-92.118,-52.603,-12.846,-6.384,2.659,16.970,4.108,50.313,50.313,0.000,0.000,0.000,0.008,0.035,0.035,18.615,18.615,18.615,50.313,50.313,50.313
0,spy,2010-05-05,-55.831,-23.351,-20.797,-6.506,-1.675,17.203,3.422,51.207,51.207,0.000,0.000,0.000,0.002,0.041,0.041,17.203,17.203,17.203,51.207,51.207,51.207
0,spy,2010-05-06,-205.235,-89.909,-54.737,-24.543,-11.126,8.891,-0.382,80.909,80.909,0.000,0.000,0.000,0.000,0.073,0.073,10.915,10.915,10.915,80.909,80.909,80.909
1,spy,2010-05-07,-177.558,-132.385,-64.921,-34.672,-15.402,6.619,-2.029,86.610,86.610,0.000,0.000,0.000,0.000,0.087,0.087,8.180,8.180,8.180,86.610,86.610,86.610
1,spy,2010-05-10,-18.832,-37.174,-33.465,-14.949,-1.201,12.377,2.775,42.769,42.167,440.410,440.410,0.044,0.044,0.043,0.046,15.395,15.395,15.395,42.167,42.167,42.167
1,spy,2010-05-11,85.296,-62.595,-40.911,-16.690,-4.233,12.017,2.451,52.023,40.911,205.375,205.375,0.041,0.041,0.042,0.049,14.667,14.667,14.667,40.911,40.911,40.911
0,spy,2010-05-12,185.451,-0.993,-26.782,-15.430,0.142,11.709,4.039,31.349,27.533,185.451,185.451,0.056,0.056,0.028,0.036,16.795,16.795,16.795,27.533,27.533,27.533
0,spy,2010-05-13,-4.879,-11.842,-17.514,-21.848,-2.877,8.661,2.608,40.295,34.128,106.282,106.282,0.043,0.043,0.040,0.048,14.452,14.452,14.452,34.128,34.128,34.128
