class,symbol,datetime,sl3,sl6,sl12,sl20,sl30,sl60,sl90,sbm10,sbm20,sam10,sam20,ram20,ram30,rbm10,rbm20,sam90,sam180,sam360,sbm90,sbm180,sbm360
0,cat,2004-05-13,-229.757,-116.569,-58.497,-33.643,-20.843,-14.200,-12.852,74.178,74.832,81.413,81.413,0.024,0.024,0.059,0.112,81.413,81.413,81.413,16.020,16.020,16.020
0,cat,2004-05-14,-184.071,-94.763,-48.033,-27.372,-16.557,-11.988,-11.514,51.517,62.500,96.392,96.392,0.039,0.039,0.046,0.100,96.392,96.392,96.392,14.238,14.238,14.238
0,cat,2004-05-17,-269.792,-139.040,-70.338,-40.943,-25.669,-16.224,-14.079,73.453,73.862,18.112,18.112,0.009,0.009,0.073,0.126,18.112,18.112,18.112,17.298,17.298,17.298
0,cat,2004-05-18,-256.981,-133.793,-68.002,-39.784,-24.959,-15.601,-13.565,66.574,68.371,19.896,19.896,0.012,0.012,0.067,0.123,19.896,19.896,19.896,16.766,16.766,16.766
0,cat,2004-05-19,-251.356,-131.354,-67.414,-39.551,-24.958,-15.299,-13.041,63.452,64.460,18.034,18.034,0.013,0.013,0.063,0.122,18.034,18.034,18.034,16.483,16.483,16.483
1,cat,2004-05-20,-311.853,-161.557,-83.323,-49.497,-31.564,-18.272,-14.937,71.805,70.392,0.000,0.000,0.000,0.000,0.072,0.141,0.000,0.000,0.000,18.516,18.516,18.516
1,cat,2004-05-21,-276.039,-143.507,-75.206,-44.995,-28.538,-16.564,-13.929,53.034,54.478,106.559,106.559,0.011,0.011,0.053,0.109,106.559,106.559,106.559,17.186,17.186,17.186
1,cat,2004-05-24,-232.662,-121.502,-64.930,-39.084,-24.710,-14.408,-12.713,37.213,50.187,120.398,120.398,0.024,0.024,0.022,0.095,120.398,120.398,120.398,15.604,15.604,15.604
0,cat,2004-05-25,-201.538,-105.959,-57.991,-35.160,-22.234,-12.909,-12.020,19.629,43.704,110.250,110.250,0.033,0.033,0.014,0.087,110.250,110.250,110.250,14.508,14.508,14.508
0,cat,2004-05-26,-188.521,-99.924,-55.465,-34.049,-21.532,-12.354,-11.888,13.872,30.427,89.607,89.607,0.036,0.036,0.011,0.061,89.607,89.607,89.607,14.061,14.061,14.061
0,cat,2004-05-27,-171.392,-91.819,-51.427,-32.056,-20.305,-11.572,-11.483,7.634,29.398,80.542,80.542,0.040,0.040,0.007,0.053,80.542,80.542,80.542,13.459,13.459,13.459
0,cat,2004-05-28,-159.223,-86.085,-48.598,-30.839,-19.663,-11.043,-11.216,4.492,26.657,71.270,71.270,0.043,0.043,0.004,0.051,71.270,71.270,71.270,13.061,13.061,13.061
0,cat,2004-06-01,-129.144,-70.942,-41.199,-26.998,-17.225,-9.624,-10.484,0.000,21.482,73.148,73.148,0.051,0.051,0.000,0.043,73.148,73.148,73.148,12.098,12.098,12.098
0,cat,2004-06-02,-106.319,-59.406,-35.485,-24.087,-15.415,-8.570,-9.899,0.000,16.390,71.962,71.962,0.058,0.058,0.000,0.033,71.962,71.962,71.962,11.354,11.354,11.354
0,cat,2004-06-03,-156.491,-83.824,-47.753,-31.919,-20.752,-11.089,-11.669,166.186,23.160,44.438,44.438,0.040,0.040,0.017,0.046,44.438,44.438,44.438,12.887,12.887,12.887
0,cat,2004-06-04,-137.922,-74.274,-43.159,-29.613,-19.531,-10.236,-11.327,60.194,15.093,44.838,44.838,0.045,0.045,0.012,0.030,44.838,44.838,44.838,34.086,12.293,12.293
0,cat,2004-06-07,-41.360,-26.134,-19.407,-15.788,-10.600,-5.430,-8.289,0.000,0.000,63.946,68.440,0.075,0.075,0.000,0.000,68.440,68.440,68.440,24.548,9.347,9.347
0,cat,2004-06-08,-61.891,-36.606,-24.478,-19.125,-13.101,-6.414,-8.813,74.645,74.645,42.162,56.048,0.067,0.067,0.007,0.007,56.048,56.048,56.048,25.936,9.980,9.980
0,cat,2004-06-09,-130.601,-71.077,-41.353,-29.421,-20.327,-9.771,-10.776,148.005,148.005,10.047,33.426,0.043,0.043,0.030,0.030,33.426,33.426,33.426,31.348,12.026,12.026
0,cat,2004-06-10,-120.109,-65.166,-38.326,-27.596,-19.587,-9.192,-10.225,90.090,90.090,10.020,33.016,0.046,0.046,0.027,0.027,33.016,33.016,33.016,29.727,11.652,11.652
0,cat,2004-06-14,-154.726,-81.001,-46.019,-32.228,-23.072,-10.847,-11.029,94.594,94.594,0.000,23.065,0.035,0.035,0.038,0.038,23.065,23.065,23.065,31.731,12.560,12.560
0,cat,2004-06-15,-127.349,-65.513,-38.297,-27.743,-20.393,-9.439,-9.842,59.459,59.459,84.269,27.072,0.043,0.043,0.030,0.030,27.072,27.072,27.072,28.769,11.666,11.666
1,cat,2004-06-16,-184.963,-93.844,-52.022,-35.802,-26.094,-12.244,-11.415,79.150,79.150,0.000,14.246,0.024,0.024,0.047,0.047,14.246,14.246,14.246,32.426,13.204,13.204
1,cat,2004-06-17,-153.930,-78.213,-43.667,-30.793,-23.116,-10.617,-10.280,54.789,54.789,95.933,18.913,0.034,0.034,0.038,0.038,18.913,18.913,18.913,29.351,12.227,12.227
1,cat,2004-06-18,-166.390,-84.299,-45.908,-32.260,-24.310,-11.138,-10.513,52.767,52.767,27.699,15.733,0.030,0.030,0.042,0.042,15.733,15.733,15.733,29.513,12.457,12.457
1,cat,2004-06-21,-141.862,-71.850,-39.150,-28.154,-21.902,-9.861,-9.554,38.896,38.896,43.688,18.821,0.038,0.038,0.035,0.035,18.821,18.821,18.821,27.111,11.682,11.682
0,cat,2004-06-22,-68.959,-35.903,-20.457,-16.934,-14.887,-6.282,-7.153,13.513,13.513,89.177,24.784,0.050,0.061,0.014,0.014,28.930,28.930,28.930,21.606,9.641,9.641
0,cat,2004-06-23,-14.398,-9.362,-6.209,-8.547,-9.549,-3.638,-5.353,0.000,0.000,104.851,26.284,0.053,0.078,0.000,0.000,35.415,35.415,35.415,17.581,8.132,8.132
