class,symbol,datetime,sl3,sl6,sl12,sl20,sl30,sl60,sl90,sbm10,sbm20,sam10,sam20,ram20,ram30,rbm10,rbm20,sam90,sam180,sam360,sbm90,sbm180,sbm360
0,spy,2010-05-14,-37.497,-18.379,-6.886,-1.139,2.020,3.584,0.347,59.641,43.346,47.277,47.277,0.024,0.024,0.054,0.065,11.276,11.276,11.276,43.346,43.346,43.346
0,spy,2010-05-17,-36.535,-17.281,-7.008,-1.223,1.932,3.671,0.257,53.178,40.329,40.296,40.296,0.024,0.024,0.053,0.065,11.194,11.194,11.194,40.329,40.329,40.329
0,spy,2010-05-18,-82.724,-39.959,-18.775,-8.400,-2.900,1.350,-1.413,43.567,45.442,14.638,14.638,0.010,0.010,0.044,0.077,8.910,8.910,8.910,45.442,45.442,45.442
0,spy,2010-05-19,-101.747,-49.568,-23.895,-11.593,-5.048,0.406,-2.185,96.892,45.836,5.617,5.617,0.004,0.004,0.048,0.083,7.919,7.919,7.919,45.836,45.836,45.836
0,spy,2010-05-20,-223.929,-110.994,-54.779,-30.399,-17.675,-5.883,-6.471,140.627,61.658,0.000,0.000,0.000,0.000,0.084,0.117,2.195,2.195,2.195,61.658,61.658,61.658
0,spy,2010-05-21,-178.804,-88.935,-43.630,-23.941,-13.321,-3.507,-4.946,101.441,52.130,145.992,145.992,0.015,0.015,0.071,0.104,4.223,4.223,4.223,52.130,52.130,52.130
0,spy,2010-05-24,-218.725,-109.427,-53.910,-30.445,-17.688,-5.588,-6.394,103.661,56.201,7.904,7.904,0.002,0.002,0.083,0.112,2.354,2.354,2.354,55.121,55.121,55.121
0,spy,2010-05-25,-213.969,-107.916,-53.005,-30.310,-17.619,-5.444,-6.374,91.103,59.941,8.679,8.679,0.003,0.003,0.082,0.108,2.463,2.463,2.463,52.205,52.205,52.205
0,spy,2010-05-26,-231.329,-117.446,-57.825,-33.390,-19.812,-6.462,-7.047,87.527,59.617,0.000,0.000,0.000,0.000,0.088,0.113,1.612,1.612,1.612,52.255,52.255,52.255
0,spy,2010-05-27,-125.700,-65.265,-32.019,-18.085,-9.614,-1.149,-3.621,45.090,41.784,334.982,334.982,0.033,0.033,0.045,0.084,6.051,6.051,6.051,37.798,37.798,37.798
0,spy,2010-05-28,-163.730,-84.563,-42.261,-24.440,-13.959,-3.270,-4.967,44.659,48.018,102.641,102.641,0.021,0.021,0.040,0.091,4.268,4.268,4.268,40.850,40.850,40.850
