class,symbol,datetime,sl3,sl6,sl12,sl20,sl30,sl60,sl90,sbm10,sbm20,sam10,sam20,ram20,ram30,rbm10,rbm20,sam90,sam180,sam360,sbm90,sbm180,sbm360
0,spy,2017-02-06,19.184,-0.291,11.140,3.785,4.665,11.536,6.886,3.485,3.485,12.293,11.140,0.013,0.024,0.003,0.003,15.762,9.542,10.159,3.485,3.485,3.485
0,spy,2017-02-07,17.123,10.181,8.086,5.476,5.265,9.674,6.308,3.049,3.049,12.394,10.317,0.013,0.024,0.003,0.003,15.519,9.483,10.120,3.049,3.049,3.049
0,spy,2017-02-08,-1.453,12.526,11.386,6.138,5.213,9.466,7.536,1.437,1.437,12.526,10.529,0.015,0.026,0.001,0.001,15.501,9.519,10.145,1.437,1.437,1.437
0,spy,2017-02-09,24.316,21.820,10.984,7.706,6.379,10.920,7.346,0.000,0.000,19.275,13.840,0.021,0.032,0.000,0.000,16.266,9.892,10.401,0.000,0.000,0.000
0,spy,2017-02-10,37.419,27.367,7.042,10.992,10.561,11.481,8.100,0.000,0.000,21.865,15.493,0.025,0.036,0.000,0.000,16.681,10.118,10.558,0.000,0.000,0.000
